angle : 208.482056, distance : 0.514000
angle : 208.828125, distance : 0.516000
angle : 209.168701, distance : 0.516000
angle : 221.918335, distance : 1.754000
angle : 231.514893, distance : 2.440000
angle : 231.855469, distance : 2.400000
angle : 243.561401, distance : 3.248000
angle : 254.745483, distance : 1.884000
angle : 255.075073, distance : 1.878000
angle : 255.701294, distance : 1.896000
angle : 256.041870, distance : 1.896000
angle : 261.919556, distance : 2.852000
angle : 281.233521, distance : 2.804000
angle : 281.574097, distance : 2.812000
angle : 284.902954, distance : 1.806000
angle : 285.249023, distance : 1.816000
angle : 285.573120, distance : 1.820000
angle : 285.919189, distance : 1.814000
angle : 286.605835, distance : 1.820000
angle : 310.902100, distance : 2.272000
angle : 311.248169, distance : 2.240000
angle : 316.796265, distance : 3.708000
angle : 324.327393, distance : 3.660000
angle : 324.667969, distance : 3.656000
angle : 326.420288, distance : 1.884000
angle : 328.090210, distance : 3.648000
