angle : 105.534668, distance : 0.000000
angle : 105.765381, distance : 0.000000
angle : 105.891724, distance : 0.000000
angle : 106.105957, distance : 0.000000
angle : 106.452026, distance : 0.000000
angle : 107.479248, distance : 0.000000
angle : 107.545166, distance : 0.000000
angle : 107.693481, distance : 0.000000
angle : 107.885742, distance : 0.000000
angle : 108.231812, distance : 0.000000
angle : 108.413086, distance : 0.000000
angle : 108.577881, distance : 0.000000
angle : 108.918457, distance : 0.000000
angle : 109.264526, distance : 0.000000
angle : 109.495239, distance : 0.000000
angle : 109.605103, distance : 0.000000
angle : 109.852295, distance : 0.000000
angle : 109.951172, distance : 0.000000
angle : 110.214844, distance : 0.000000
angle : 110.291748, distance : 0.000000
angle : 110.983887, distance : 0.000000
angle : 112.401123, distance : 0.000000
angle : 112.730713, distance : 0.000000
angle : 112.747192, distance : 0.000000
angle : 113.093262, distance : 0.000000
angle : 113.779907, distance : 0.000000
angle : 113.812866, distance : 0.000000
angle : 115.823364, distance : 0.000000
angle : 116.169434, distance : 0.000000
angle : 116.515503, distance : 0.000000
angle : 116.856079, distance : 0.000000
angle : 117.202148, distance : 0.000000
angle : 117.410889, distance : 0.000000
angle : 117.888794, distance : 0.000000
angle : 118.130493, distance : 0.000000
angle : 118.201904, distance : 0.000000
angle : 118.542480, distance : 0.000000
angle : 118.888550, distance : 0.000000
angle : 119.212646, distance : 0.000000
angle : 119.229126, distance : 0.000000
angle : 119.575195, distance : 0.000000
angle : 119.575195, distance : 0.000000
angle : 119.921265, distance : 0.000000
angle : 120.294800, distance : 0.000000
angle : 120.311279, distance : 0.000000
angle : 120.651855, distance : 0.000000
angle : 120.651855, distance : 0.000000
angle : 120.997925, distance : 0.000000
angle : 121.014404, distance : 0.000000
angle : 121.338501, distance : 0.000000
angle : 121.371460, distance : 0.000000
angle : 121.684570, distance : 0.000000
angle : 121.734009, distance : 0.000000
angle : 122.030640, distance : 0.000000
angle : 122.371216, distance : 0.000000
angle : 122.717285, distance : 0.000000
angle : 123.057861, distance : 0.000000
angle : 123.403931, distance : 0.000000
angle : 123.750000, distance : 0.000000
angle : 123.892822, distance : 0.000000
angle : 124.090576, distance : 0.000000
angle : 124.436646, distance : 0.000000
angle : 124.612427, distance : 0.000000
angle : 124.777222, distance : 0.000000
angle : 124.974976, distance : 0.000000
angle : 125.123291, distance : 0.000000
angle : 125.463867, distance : 0.000000
angle : 125.809937, distance : 0.000000
angle : 126.156006, distance : 0.000000
angle : 126.496582, distance : 0.000000
angle : 126.842651, distance : 0.000000
angle : 127.183228, distance : 0.000000
angle : 127.529297, distance : 0.000000
angle : 127.935791, distance : 0.000000
angle : 128.276367, distance : 0.000000
angle : 128.622437, distance : 0.000000
angle : 128.968506, distance : 0.000000
angle : 129.309082, distance : 0.000000
angle : 129.655151, distance : 0.000000
angle : 129.995728, distance : 0.000000
angle : 130.341797, distance : 0.000000
angle : 130.682373, distance : 0.000000
angle : 131.028442, distance : 0.000000
angle : 131.374512, distance : 0.000000
angle : 131.715088, distance : 0.000000
angle : 132.061157, distance : 0.000000
angle : 132.401733, distance : 0.000000
angle : 132.747803, distance : 0.000000
angle : 133.088379, distance : 0.000000
angle : 133.434448, distance : 0.000000
angle : 133.791504, distance : 0.000000
angle : 134.137573, distance : 0.000000
angle : 134.483643, distance : 0.000000
angle : 134.824219, distance : 0.000000
angle : 135.170288, distance : 0.000000
angle : 135.510864, distance : 0.000000
angle : 135.856934, distance : 0.000000
angle : 136.203003, distance : 0.000000
angle : 136.543579, distance : 0.000000
angle : 136.889648, distance : 0.000000
angle : 137.230225, distance : 0.000000
angle : 137.916870, distance : 0.000000
angle : 138.499146, distance : 0.000000
angle : 138.839722, distance : 0.000000
angle : 139.185791, distance : 0.000000
angle : 139.526367, distance : 0.000000
angle : 139.872437, distance : 0.000000
angle : 140.218506, distance : 0.000000
angle : 140.559082, distance : 0.000000
angle : 140.905151, distance : 0.000000
angle : 141.245728, distance : 0.000000
angle : 141.591797, distance : 0.000000
angle : 141.932373, distance : 0.000000
angle : 142.278442, distance : 0.000000
angle : 142.624512, distance : 0.000000
angle : 142.965088, distance : 0.000000
angle : 143.311157, distance : 0.000000
angle : 143.651733, distance : 0.000000
angle : 143.997803, distance : 0.000000
angle : 144.338379, distance : 0.000000
angle : 144.684448, distance : 0.000000
angle : 145.041504, distance : 0.000000
angle : 145.387573, distance : 0.000000
angle : 145.491943, distance : 0.000000
angle : 145.777588, distance : 0.000000
angle : 146.123657, distance : 0.000000
angle : 146.464233, distance : 0.000000
angle : 146.810303, distance : 0.000000
angle : 147.150879, distance : 0.000000
angle : 147.496948, distance : 0.000000
angle : 147.843018, distance : 0.000000
angle : 148.200073, distance : 0.000000
angle : 148.546143, distance : 0.000000
angle : 148.886719, distance : 0.000000
angle : 149.232788, distance : 0.000000
angle : 149.573364, distance : 0.000000
angle : 149.919434, distance : 0.000000
angle : 150.265503, distance : 0.000000
angle : 150.606079, distance : 0.000000
angle : 150.952148, distance : 0.000000
angle : 151.638794, distance : 0.000000
angle : 152.495728, distance : 0.000000
angle : 152.858276, distance : 0.000000
angle : 154.434814, distance : 1.038000
angle : 154.780884, distance : 1.032000
angle : 155.121460, distance : 1.028000
angle : 155.527954, distance : 1.024000
angle : 155.874023, distance : 1.022000
angle : 156.214600, distance : 1.024000
angle : 156.494751, distance : 1.026000
angle : 156.901245, distance : 1.024000
angle : 157.247314, distance : 1.024000
angle : 157.527466, distance : 1.028000
angle : 157.873535, distance : 1.034000
angle : 158.576660, distance : 1.042000
angle : 159.532471, distance : 0.000000
angle : 159.746704, distance : 0.000000
angle : 160.092773, distance : 0.000000
angle : 160.252075, distance : 0.000000
angle : 160.433350, distance : 0.000000
angle : 160.614624, distance : 0.000000
angle : 160.779419, distance : 0.000000
angle : 161.119995, distance : 0.000000
angle : 161.466064, distance : 0.000000
angle : 161.691284, distance : 0.000000
angle : 161.812134, distance : 0.000000
angle : 162.152710, distance : 0.000000
angle : 162.498779, distance : 0.000000
angle : 162.839355, distance : 0.000000
angle : 163.185425, distance : 0.000000
angle : 163.526001, distance : 0.000000
angle : 163.872070, distance : 0.000000
angle : 164.218140, distance : 0.000000
angle : 164.558716, distance : 0.000000
angle : 164.904785, distance : 0.000000
angle : 165.948486, distance : 0.000000
angle : 166.014404, distance : 0.000000
angle : 166.734009, distance : 0.000000
angle : 167.091064, distance : 0.000000
angle : 167.453613, distance : 0.000000
angle : 167.810669, distance : 0.000000
angle : 168.173218, distance : 0.000000
angle : 174.292603, distance : 0.000000
angle : 174.655151, distance : 0.000000
angle : 175.374756, distance : 0.000000
angle : 175.731812, distance : 0.000000
angle : 176.094360, distance : 0.000000
angle : 176.451416, distance : 0.000000
angle : 176.813965, distance : 0.000000
angle : 177.171021, distance : 0.000000
angle : 177.533569, distance : 0.000000
angle : 177.890625, distance : 0.000000
angle : 178.253174, distance : 0.000000
angle : 178.615723, distance : 0.000000
angle : 178.972778, distance : 0.000000
angle : 179.335327, distance : 0.000000
angle : 179.692383, distance : 0.000000
angle : 180.054932, distance : 0.000000
angle : 180.411987, distance : 0.000000
angle : 180.774536, distance : 0.000000
angle : 181.131592, distance : 0.000000
angle : 181.494141, distance : 0.000000
angle : 181.851196, distance : 0.000000
angle : 182.213745, distance : 0.000000
angle : 182.570801, distance : 0.000000
angle : 182.933350, distance : 0.000000
angle : 183.295898, distance : 0.000000
angle : 183.652954, distance : 0.000000
angle : 184.015503, distance : 0.000000
angle : 184.372559, distance : 0.000000
angle : 184.735107, distance : 0.000000
angle : 185.092163, distance : 0.000000
angle : 185.454712, distance : 0.000000
angle : 185.811768, distance : 0.000000
angle : 186.174316, distance : 0.000000
angle : 186.531372, distance : 0.000000
angle : 186.893921, distance : 0.000000
angle : 187.250977, distance : 0.000000
angle : 187.613525, distance : 0.000000
angle : 187.970581, distance : 0.000000
angle : 188.333130, distance : 0.000000
angle : 188.695679, distance : 0.000000
angle : 189.052734, distance : 0.000000
angle : 189.415283, distance : 0.000000
angle : 189.772339, distance : 0.000000
angle : 190.134888, distance : 0.000000
angle : 190.491943, distance : 0.000000
angle : 190.854492, distance : 0.000000
angle : 191.211548, distance : 0.000000
angle : 191.574097, distance : 0.000000
angle : 191.931152, distance : 0.000000
angle : 192.293701, distance : 0.000000
angle : 192.650757, distance : 0.000000
angle : 193.013306, distance : 0.000000
angle : 193.375854, distance : 0.000000
angle : 193.732910, distance : 0.000000
angle : 194.095459, distance : 0.000000
angle : 194.452515, distance : 0.000000
angle : 194.815063, distance : 0.000000
angle : 195.172119, distance : 0.000000
angle : 195.534668, distance : 0.000000
angle : 195.891724, distance : 0.000000
angle : 196.254272, distance : 0.000000
angle : 196.611328, distance : 0.000000
angle : 196.973877, distance : 0.000000
angle : 197.330933, distance : 0.000000
angle : 197.693481, distance : 0.000000
angle : 198.050537, distance : 0.000000
angle : 198.413086, distance : 0.000000
angle : 198.775635, distance : 0.000000
angle : 199.132690, distance : 0.000000
angle : 199.495239, distance : 0.000000
angle : 199.852295, distance : 0.000000
angle : 200.214844, distance : 0.000000
angle : 200.467529, distance : 0.000000
angle : 200.571899, distance : 0.000000
angle : 200.808105, distance : 0.000000
angle : 200.934448, distance : 0.000000
angle : 201.154175, distance : 0.000000
angle : 201.291504, distance : 0.000000
angle : 201.494751, distance : 0.000000
angle : 201.654053, distance : 0.000000
angle : 201.840820, distance : 0.000000
angle : 202.011108, distance : 0.000000
angle : 202.186890, distance : 0.000000
angle : 202.373657, distance : 0.000000
angle : 202.593384, distance : 0.000000
angle : 202.730713, distance : 0.000000
angle : 202.933960, distance : 0.000000
angle : 203.093262, distance : 0.000000
angle : 203.263550, distance : 0.000000
angle : 203.455811, distance : 0.000000
angle : 203.604126, distance : 0.000000
angle : 203.812866, distance : 0.000000
angle : 203.950195, distance : 0.000000
angle : 204.175415, distance : 0.000000
angle : 204.296265, distance : 0.000000
angle : 204.532471, distance : 0.000000
angle : 204.636841, distance : 0.000000
angle : 204.895020, distance : 0.000000
angle : 204.982910, distance : 0.000000
angle : 205.252075, distance : 0.000000
angle : 205.323486, distance : 0.000000
angle : 205.614624, distance : 0.000000
angle : 205.669556, distance : 0.000000
angle : 205.971680, distance : 0.000000
angle : 206.015625, distance : 0.000000
angle : 206.334229, distance : 0.000000
angle : 206.356201, distance : 0.000000
angle : 206.691284, distance : 0.000000
angle : 206.702271, distance : 0.000000
angle : 207.042847, distance : 0.000000
angle : 207.053833, distance : 0.000000
angle : 207.388916, distance : 0.000000
angle : 207.410889, distance : 0.000000
angle : 207.669067, distance : 0.000000
angle : 207.773438, distance : 0.000000
angle : 208.015137, distance : 0.000000
angle : 208.135986, distance : 0.000000
angle : 208.355713, distance : 0.000000
angle : 208.493042, distance : 0.000000
angle : 208.701782, distance : 0.000000
angle : 208.855591, distance : 0.000000
angle : 209.042358, distance : 0.000000
angle : 209.212646, distance : 0.000000
angle : 209.388428, distance : 0.000000
angle : 209.575195, distance : 0.000000
angle : 209.729004, distance : 0.000000
angle : 209.932251, distance : 0.000000
angle : 210.075073, distance : 0.000000
angle : 210.294800, distance : 0.000000
angle : 210.421143, distance : 0.000000
angle : 210.651855, distance : 0.000000
angle : 210.761719, distance : 0.000000
angle : 211.091309, distance : 0.000000
angle : 211.437378, distance : 0.000000
angle : 211.777954, distance : 0.000000
angle : 212.124023, distance : 0.000000
angle : 212.464600, distance : 0.000000
angle : 212.810669, distance : 0.000000
angle : 213.151245, distance : 0.000000
angle : 213.497314, distance : 0.000000
angle : 213.843384, distance : 0.000000
angle : 214.183960, distance : 0.000000
angle : 214.530029, distance : 0.000000
angle : 214.870605, distance : 0.000000
angle : 215.216675, distance : 0.000000
angle : 215.557251, distance : 0.000000
angle : 215.903320, distance : 0.000000
angle : 216.249390, distance : 0.000000
angle : 216.573486, distance : 0.000000
angle : 216.919556, distance : 0.000000
angle : 217.216187, distance : 0.000000
angle : 217.562256, distance : 0.000000
angle : 217.902832, distance : 0.000000
angle : 218.248901, distance : 0.000000
angle : 218.572998, distance : 0.000000
angle : 218.919067, distance : 0.000000
angle : 219.265137, distance : 0.000000
angle : 219.605713, distance : 0.000000
angle : 219.951782, distance : 0.000000
angle : 220.292358, distance : 0.000000
angle : 220.638428, distance : 0.000000
angle : 220.979004, distance : 0.000000
angle : 221.325073, distance : 0.000000
angle : 221.671143, distance : 0.000000
angle : 222.011719, distance : 0.000000
angle : 222.357788, distance : 0.000000
angle : 222.698364, distance : 0.000000
angle : 223.044434, distance : 0.000000
angle : 223.390503, distance : 0.000000
angle : 223.731079, distance : 0.000000
angle : 224.060669, distance : 0.000000
angle : 224.401245, distance : 0.000000
angle : 224.697876, distance : 0.000000
angle : 225.043945, distance : 0.000000
angle : 225.390015, distance : 0.000000
angle : 225.730591, distance : 0.000000
angle : 226.060181, distance : 0.000000
angle : 226.406250, distance : 0.000000
angle : 226.746826, distance : 0.000000
