angle : 63.638306, distance : 0.227000, cluster : 1
angle : 63.967896, distance : 0.227000, cluster : 1
angle : 64.248047, distance : 0.228000, cluster : 1
angle : 64.588623, distance : 0.229000, cluster : 1
angle : 64.874268, distance : 0.230000, cluster : 1
angle : 65.198364, distance : 0.231000, cluster : 1
angle : 65.484009, distance : 0.232000, cluster : 1
angle : 65.808105, distance : 0.233000, cluster : 1
angle : 66.154175, distance : 0.233000, cluster : 1
angle : 66.434326, distance : 0.235000, cluster : 1
angle : 66.763916, distance : 0.236000, cluster : 1
angle : 67.044067, distance : 0.237000, cluster : 1
angle : 67.390137, distance : 0.238000, cluster : 1
angle : 67.653809, distance : 0.239000, cluster : 1
angle : 67.999878, distance : 0.240000, cluster : 1
angle : 68.323975, distance : 0.241000, cluster : 1
angle : 68.604126, distance : 0.243000, cluster : 1
angle : 68.889771, distance : 0.244000, cluster : 1
angle : 69.230347, distance : 0.245000, cluster : 1
angle : 69.499512, distance : 0.247000, cluster : 1
angle : 69.840088, distance : 0.248000, cluster : 1
angle : 70.120239, distance : 0.250000, cluster : 1
angle : 70.405884, distance : 0.251000, cluster : 1
angle : 70.729980, distance : 0.252000, cluster : 1
angle : 71.076050, distance : 0.253000, cluster : 1
angle : 71.339722, distance : 0.254000, cluster : 1
angle : 71.685791, distance : 0.255000, cluster : 1
angle : 72.015381, distance : 0.256000, cluster : 1
angle : 72.295532, distance : 0.258000, cluster : 1
angle : 72.575684, distance : 0.259000, cluster : 1
angle : 72.921753, distance : 0.261000, cluster : 1
angle : 73.185425, distance : 0.262000, cluster : 1
angle : 73.526001, distance : 0.264000, cluster : 1
angle : 73.811646, distance : 0.265000, cluster : 1
angle : 74.135742, distance : 0.266000, cluster : 1
angle : 74.421387, distance : 0.268000, cluster : 1
angle : 74.761963, distance : 0.269000, cluster : 1
angle : 75.031128, distance : 0.271000, cluster : 1
angle : 75.371704, distance : 0.273000, cluster : 1
angle : 75.651855, distance : 0.274000, cluster : 1
angle : 76.327515, distance : 0.276000, cluster : 1
angle : 77.420654, distance : 0.000000, cluster : 0
angle : 77.607422, distance : 0.278000, cluster : 1
angle : 77.887573, distance : 0.280000, cluster : 1
