angle : 163.015137, distance : 0.000000
angle : 163.026123, distance : 0.000000
angle : 163.339233, distance : 0.000000
angle : 163.388672, distance : 0.000000
angle : 163.685303, distance : 0.000000
angle : 164.025879, distance : 0.000000
angle : 164.371948, distance : 0.000000
angle : 164.718018, distance : 0.000000
angle : 165.042114, distance : 0.000000
angle : 165.388184, distance : 0.000000
angle : 165.734253, distance : 0.000000
angle : 166.074829, distance : 0.000000
angle : 166.404419, distance : 0.000000
angle : 166.744995, distance : 0.000000
angle : 167.091064, distance : 0.000000
angle : 167.437134, distance : 0.000000
angle : 167.706299, distance : 0.000000
angle : 167.777710, distance : 0.000000
angle : 168.107300, distance : 0.000000
angle : 168.425903, distance : 0.000000
angle : 168.447876, distance : 0.000000
angle : 168.788452, distance : 0.000000
angle : 168.793945, distance : 0.000000
angle : 169.140015, distance : 0.000000
angle : 169.145508, distance : 0.000000
angle : 169.480591, distance : 0.000000
angle : 169.508057, distance : 0.000000
angle : 169.810181, distance : 0.000000
angle : 169.865112, distance : 0.000000
angle : 170.156250, distance : 0.000000
angle : 170.557251, distance : 0.000000
angle : 170.886841, distance : 0.000000
angle : 171.232910, distance : 0.000000
angle : 171.573486, distance : 0.000000
angle : 171.919556, distance : 0.000000
angle : 172.265625, distance : 0.000000
angle : 172.589722, distance : 0.000000
angle : 172.935791, distance : 0.000000
angle : 173.276367, distance : 0.000000
angle : 173.622437, distance : 0.000000
angle : 173.952026, distance : 0.000000
angle : 174.292603, distance : 0.000000
angle : 174.638672, distance : 0.000000
angle : 174.979248, distance : 0.000000
angle : 175.325317, distance : 0.000000
angle : 175.654907, distance : 0.000000
angle : 175.995483, distance : 0.000000
angle : 176.341553, distance : 0.000000
angle : 176.682129, distance : 0.000000
angle : 177.028198, distance : 0.000000
angle : 177.357788, distance : 0.000000
angle : 177.698364, distance : 0.000000
angle : 178.044434, distance : 0.000000
angle : 178.390503, distance : 0.000000
angle : 178.731079, distance : 0.000000
angle : 179.060669, distance : 0.000000
angle : 179.401245, distance : 0.000000
angle : 179.747314, distance : 0.000000
angle : 180.433960, distance : 0.000000
angle : 180.933838, distance : 0.000000
angle : 181.279907, distance : 0.000000
angle : 181.620483, distance : 0.000000
angle : 181.950073, distance : 0.000000
angle : 182.636719, distance : 0.000000
angle : 183.713379, distance : 0.000000
angle : 184.059448, distance : 0.000000
angle : 184.405518, distance : 0.000000
angle : 184.729614, distance : 0.000000
angle : 185.075684, distance : 0.000000
angle : 185.421753, distance : 0.000000
angle : 185.762329, distance : 0.000000
angle : 186.091919, distance : 0.000000
angle : 186.432495, distance : 0.000000
angle : 186.778564, distance : 0.000000
angle : 187.124634, distance : 0.000000
angle : 187.465210, distance : 0.000000
angle : 187.811279, distance : 0.000000
angle : 188.135376, distance : 0.000000
angle : 188.481445, distance : 0.000000
angle : 188.827515, distance : 0.000000
angle : 189.168091, distance : 0.000000
angle : 189.497681, distance : 0.000000
angle : 189.843750, distance : 0.000000
angle : 190.184326, distance : 0.000000
angle : 190.530396, distance : 0.000000
angle : 190.870972, distance : 0.000000
