angle : 243.308716, distance : 0.598000
angle : 243.588867, distance : 0.600000
angle : 243.934937, distance : 0.602000
angle : 244.264526, distance : 0.604000
angle : 245.967407, distance : 0.614000
angle : 246.291504, distance : 0.612000
angle : 246.637573, distance : 0.614000
angle : 246.917725, distance : 0.616000
angle : 247.263794, distance : 0.618000
angle : 247.604370, distance : 0.618000
angle : 247.933960, distance : 0.620000
angle : 248.280029, distance : 0.622000
angle : 248.620605, distance : 0.622000
angle : 248.950195, distance : 0.624000
angle : 249.296265, distance : 0.626000
angle : 249.636841, distance : 0.630000
angle : 249.916992, distance : 0.632000
angle : 250.263062, distance : 0.632000
angle : 250.592651, distance : 0.634000
angle : 250.933228, distance : 0.636000
angle : 251.279297, distance : 0.638000
angle : 251.608887, distance : 0.642000
angle : 251.949463, distance : 0.644000
angle : 252.295532, distance : 0.646000
angle : 252.575684, distance : 0.648000
angle : 252.905273, distance : 0.650000
angle : 253.245850, distance : 0.652000
angle : 253.575439, distance : 0.654000
angle : 253.921509, distance : 0.656000
angle : 254.262085, distance : 0.658000
angle : 254.591675, distance : 0.660000
angle : 254.932251, distance : 0.664000
angle : 255.217896, distance : 0.666000
angle : 255.558472, distance : 0.670000
angle : 255.888062, distance : 0.672000
angle : 256.234131, distance : 0.676000
angle : 256.574707, distance : 0.678000
angle : 256.904297, distance : 0.680000
angle : 257.244873, distance : 0.682000
angle : 257.530518, distance : 0.686000
angle : 257.871094, distance : 0.688000
angle : 258.200684, distance : 0.692000
angle : 258.546753, distance : 0.696000
angle : 258.870850, distance : 0.698000
angle : 259.216919, distance : 0.702000
angle : 260.167236, distance : 0.706000
angle : 261.249390, distance : 1.426000
angle : 261.589966, distance : 1.432000
angle : 261.936035, distance : 1.432000
angle : 262.265625, distance : 1.430000
angle : 262.606201, distance : 1.430000
angle : 262.952271, distance : 1.428000
angle : 263.276367, distance : 1.428000
angle : 263.622437, distance : 1.428000
angle : 263.952026, distance : 1.428000
angle : 264.292603, distance : 1.428000
angle : 264.638672, distance : 1.428000
angle : 264.968262, distance : 1.436000
angle : 265.308838, distance : 1.446000
angle : 265.588989, distance : 1.460000
angle : 266.264648, distance : 1.488000
angle : 272.043457, distance : 0.295000
angle : 272.389526, distance : 0.293000
angle : 272.779541, distance : 0.292000
angle : 273.120117, distance : 0.291000
angle : 273.449707, distance : 0.290000
angle : 273.856201, distance : 0.289000
angle : 274.185791, distance : 0.288000
angle : 274.526367, distance : 0.288000
angle : 274.872437, distance : 0.287000
angle : 275.202026, distance : 0.287000
angle : 275.542603, distance : 0.288000
angle : 275.888672, distance : 0.289000
angle : 276.218262, distance : 0.289000
angle : 276.558838, distance : 0.289000
angle : 276.888428, distance : 0.289000
angle : 277.168579, distance : 0.290000
angle : 277.514648, distance : 0.290000
angle : 277.855225, distance : 0.291000
angle : 278.184814, distance : 0.292000
angle : 278.464966, distance : 0.293000
angle : 278.811035, distance : 0.295000
angle : 279.151611, distance : 0.296000
angle : 279.437256, distance : 0.298000
angle : 280.041504, distance : 0.301000
