dist : 4.092124, i : 12, j : 31
dist : 2.832894, i : 12, j : 32
dist : 3.894837, i : 12, j : 33
dist : 4.289176, i : 12, j : 34
dist : 3.944024, i : 12, j : 35
dist : 0.243679, i : 13, j : 14
dist : 0.000000, i : 13, j : 15
dist : 0.311347, i : 13, j : 16
dist : 0.000000, i : 13, j : 17
dist : 1.223846, i : 13, j : 18
dist : 0.840325, i : 13, j : 19
dist : 1.015411, i : 13, j : 20
dist : 1.275332, i : 13, j : 21
dist : 1.648444, i : 13, j : 22
dist : 0.000000, i : 13, j : 23
dist : 0.000000, i : 13, j : 24
dist : 2.411448, i : 13, j : 25
dist : 0.000000, i : 13, j : 26
dist : 2.921197, i : 13, j : 27
dist : 0.000000, i : 13, j : 28
dist : 0.000000, i : 13, j : 29
dist : 0.000000, i : 13, j : 30
dist : 4.266833, i : 13, j : 31
dist : 3.042218, i : 13, j : 32
dist : 4.094253, i : 13, j : 33
dist : 4.511034, i : 13, j : 34
dist : 4.172950, i : 13, j : 35
dist : 0.000000, i : 14, j : 15
dist : 0.261019, i : 14, j : 16
dist : 0.000000, i : 14, j : 17
dist : 0.996003, i : 14, j : 18
dist : 0.692473, i : 14, j : 19
dist : 0.827367, i : 14, j : 20
dist : 1.101091, i : 14, j : 21
dist : 1.497724, i : 14, j : 22
dist : 0.000000, i : 14, j : 23
dist : 0.000000, i : 14, j : 24
dist : 2.170842, i : 14, j : 25
dist : 0.000000, i : 14, j : 26
dist : 2.677525, i : 14, j : 27
dist : 0.000000, i : 14, j : 28
dist : 0.000000, i : 14, j : 29
dist : 0.000000, i : 14, j : 30
dist : 4.027089, i : 14, j : 31
dist : 2.816170, i : 14, j : 32
dist : 3.862408, i : 14, j : 33
dist : 4.291487, i : 14, j : 34
dist : 3.959231, i : 14, j : 35
dist : 0.000000, i : 15, j : 16
dist : 0.000000, i : 15, j : 17
dist : 0.000000, i : 15, j : 18
dist : 0.000000, i : 15, j : 19
dist : 0.000000, i : 15, j : 20
dist : 0.000000, i : 15, j : 21
dist : 0.000000, i : 15, j : 22
dist : 0.000000, i : 15, j : 23
dist : 0.000000, i : 15, j : 24
dist : 0.000000, i : 15, j : 25
dist : 0.000000, i : 15, j : 26
dist : 0.000000, i : 15, j : 27
dist : 0.000000, i : 15, j : 28
dist : 0.000000, i : 15, j : 29
dist : 0.000000, i : 15, j : 30
dist : 0.000000, i : 15, j : 31
dist : 0.000000, i : 15, j : 32
dist : 0.000000, i : 15, j : 33
dist : 0.000000, i : 15, j : 34
dist : 0.000000, i : 15, j : 35
dist : 0.000000, i : 16, j : 17
dist : 1.171885, i : 16, j : 18
dist : 0.534720, i : 16, j : 19
dist : 0.729552, i : 16, j : 20
dist : 0.976289, i : 16, j : 21
dist : 1.339257, i : 16, j : 22
dist : 0.000000, i : 16, j : 23
dist : 0.000000, i : 16, j : 24
dist : 2.205833, i : 16, j : 25
dist : 0.000000, i : 16, j : 26
dist : 2.749937, i : 16, j : 27
dist : 0.000000, i : 16, j : 28
dist : 0.000000, i : 16, j : 29
dist : 0.000000, i : 16, j : 30
dist : 4.142239, i : 16, j : 31
dist : 2.979671, i : 16, j : 32
dist : 4.008274, i : 16, j : 33
dist : 4.464811, i : 16, j : 34
dist : 4.143087, i : 16, j : 35
dist : 0.000000, i : 17, j : 18
dist : 0.000000, i : 17, j : 19
dist : 0.000000, i : 17, j : 20
dist : 0.000000, i : 17, j : 21
dist : 0.000000, i : 17, j : 22
dist : 0.000000, i : 17, j : 23
dist : 0.000000, i : 17, j : 24
dist : 0.000000, i : 17, j : 25
dist : 0.000000, i : 17, j : 26
dist : 0.000000, i : 17, j : 27
dist : 0.000000, i : 17, j : 28
dist : 0.000000, i : 17, j : 29
dist : 0.000000, i : 17, j : 30
dist : 0.000000, i : 17, j : 31
